team,year,position,top_scorer,top_wickets,experience
chennai-super-kings,2024,5,583|  Ruturaj Gaikwad,17|  Tushar Deshpande,1
chennai-super-kings,2023,2,672|  Devon Conway,21|  Tushar Deshpande,2
chennai-super-kings,2022,9,368|  Ruturaj Gaikwad,16|  Dwayne Bravo,3
chennai-super-kings,2021,1,635|  Ruturaj Gaikwad,21|  Shardul Thakur,4
chennai-super-kings,2020,7,449|  Faf du Plessis,13|  Sam Curran,5
chennai-super-kings,2019,2,416|  MS Dhoni,26|  Imran Tahir,6
chennai-super-kings,2018,1,602|  Ambati Rayudu,16|  Shardul Thakur,7
chennai-super-kings,2015,2,436|  Brendon McCullum,26|  Dwayne Bravo,10
chennai-super-kings,2014,3,566|  Dwayne Smith,23|  Mohit Sharma,11
chennai-super-kings,2013,2,733|  Michael Hussey,32|  Dwayne Bravo,12
chennai-super-kings,2012,2,441|  Suresh Raina,14|  Ben Hilfenhaus,13
chennai-super-kings,2011,1,492|  Michael Hussey,20|  Ravichandran Ashwin,14
chennai-super-kings,2010,1,520|  Suresh Raina,15|  Muttiah Muralitharan,15
chennai-super-kings,2009,4,572|  Matthew Hayden,14|  Muttiah Muralitharan,16
chennai-super-kings,2008,2,421|  Suresh Raina,17|  Albie Morkel,17
delhi-capitals,2024,6,446|  Rishabh Pant,17|  Khaleel Ahmed,1
delhi-capitals,2023,9,516|  David Warner,12|  Mitchell Marsh,2
delhi-capitals,2022,5,432|  David Warner,21|  Kuldeep Yadav,3
delhi-capitals,2021,3,587|  Shikhar Dhawan,24|  Avesh Khan,4
delhi-capitals,2020,2,618|  Shikhar Dhawan,30|  Kagiso Rabada,5
delhi-capitals,2019,3,521|  Shikhar Dhawan,25|  Kagiso Rabada,6
delhi-capitals,2018,8,684|  Rishabh Pant,18|  Trent Boult,7
delhi-capitals,2017,6,386|  Sanju Samson,15|  Pat Cummins,8
delhi-capitals,2016,6,445|  Quinton de Kock,13|  Amit Mishra,9
delhi-capitals,2015,7,439|  Shreyas Iyer,15|  Nathan Coulter-Nile,10
delhi-capitals,2014,8,410|  JP Duminy,9|  Imran Tahir,11
delhi-capitals,2013,9,410|  David Warner,16|  Umesh Yadav,12
delhi-capitals,2012,3,495|  Virender Sehwag,25|  Morne Morkel,13
delhi-capitals,2011,10,424|  Virender Sehwag,13|  Morne Morkel,14
delhi-capitals,2010,5,356|  Virender Sehwag,17|  Amit Mishra,15
delhi-capitals,2009,3,465|  AB de Villiers,19|  Ashish Nehra,16
delhi-capitals,2008,4,534|  Gautam Gambhir,16|  Yo Mahesh,17
gujarat-titans,2024,8,527|  Sai Sudharsan,13|  Mohit Sharma,1
gujarat-titans,2023,1,890|  Shubman Gill,28|  Mohammad Shami,2
gujarat-titans,2022,1,487|  Hardik Pandya,20|  Mohammad Shami,3
kolkata-knight-riders,2024,1,488|  Sunil Narine,21|  Varun Chakaravarthy,1
kolkata-knight-riders,2023,7,474|  Rinku Singh,20|  Varun Chakaravarthy,2
kolkata-knight-riders,2022,7,401|  Shreyas Iyer,17|  Andre Russell,3
kolkata-knight-riders,2021,2,478|  Shubman Gill,18|  Varun Chakaravarthy,4
kolkata-knight-riders,2020,5,440|  Shubman Gill,17|  Varun Chakaravarthy,5
kolkata-knight-riders,2019,5,510|  Andre Russell,11|  Andre Russell,6
kolkata-knight-riders,2018,3,498|  Dinesh Karthik,17|  Sunil Narine,7
kolkata-knight-riders,2017,3,498|  Gautam Gambhir,17|  Chris Woakes,8
kolkata-knight-riders,2016,4,501|  Gautam Gambhir,15|  Andre Russell,9
kolkata-knight-riders,2015,5,364|  Robin Uthappa,14|  Andre Russell,10
kolkata-knight-riders,2014,1,660|  Robin Uthappa,21|  Sunil Narine,11
kolkata-knight-riders,2013,7,406|  Gautam Gambhir,22|  Sunil Narine,12
kolkata-knight-riders,2012,1,590|  Gautam Gambhir,24|  Sunil Narine,13
kolkata-knight-riders,2011,4,424|  Jacques Kallis,16|  Iqbal Abdulla,14
kolkata-knight-riders,2010,6,493|  Sourav Ganguly,9|  Ashok Dinda,15
kolkata-knight-riders,2009,8,365|  Brad Hodge,11|  Ishant Sharma,16
kolkata-knight-riders,2008,6,349|  Sourav Ganguly,12|  Umar Gul,17
lucknow-super-giants,2024,7,520|  K L Rahul,14|  Naveen-Ul-Haq,1
lucknow-super-giants,2023,3,408|  Marcus Stoinis,16|  Ravi Bishnoi,2
lucknow-super-giants,2022,4,616|  K L Rahul,18|  Avesh Khan,3
mumbai-indians,2024,10,417|  Rohit Sharma,20|  Jasprit Bumrah,1
mumbai-indians,2023,4,605|  Suryakumar Yadav,22|  Piyush Chawla,2
mumbai-indians,2022,10,418|  Ishan Kishan,15|  Jasprit Bumrah,3
mumbai-indians,2021,5,381|  Rohit Sharma,21|  Jasprit Bumrah,4
mumbai-indians,2020,1,516|  Ishan Kishan,27|  Jasprit Bumrah,5
mumbai-indians,2019,1,529|  Quinton de Kock,19|  Jasprit Bumrah,6
mumbai-indians,2018,5,512|  Suryakumar Yadav,18|  Hardik Pandya,7
mumbai-indians,2017,1,395|  Parthiv Patel,20|  Jasprit Bumrah,8
mumbai-indians,2016,5,489|  Rohit Sharma,17|  Mitchell McClenaghan,9
mumbai-indians,2015,1,540|  Lendl Simmons,24|  Lasith Malinga,10
mumbai-indians,2014,4,394|  Lendl Simmons,16|  Lasith Malinga,11
mumbai-indians,2013,1,538|  Rohit Sharma,24|  Harbhajan Singh,12
mumbai-indians,2012,4,433|  Rohit Sharma,22|  Lasith Malinga,13
mumbai-indians,2011,3,553|  Sachin Tendulkar,28|  Lasith Malinga,14
mumbai-indians,2010,2,618|  Sachin Tendulkar,17|  Harbhajan Singh,15
mumbai-indians,2009,7,372|  JP Duminy,18|  Lasith Malinga,16
mumbai-indians,2008,5,518|  Sanath Jayasuriya,12|  Ashish Nehra,17
punjab-kings,2024,9,354|  Shashank Singh,24|  Harshal Patel,1
punjab-kings,2023,8,373|  Shikhar Dhawan,17|  Arshdeep Singh,2
punjab-kings,2022,6,460|  Shikhar Dhawan,23|  Kagiso Rabada,3
punjab-kings,2021,6,626|  KL Rahul,19|  Mohammad Shami,4
punjab-kings,2020,6,670|  KL Rahul,20|  Mohammad Shami,5
punjab-kings,2019,6,593|  KL Rahul,19|  Mohammad Shami,6
punjab-kings,2018,7,659|  KL Rahul,24|  Andrew Tye,7
punjab-kings,2017,5,420|  Hashim Amla,17|  Sandeep Sharma,8
punjab-kings,2016,8,453|  Murali Vijay,15|  Sandeep Sharma,9
punjab-kings,2015,8,357|  David Miller,15|  Anureet Singh,10
punjab-kings,2014,2,552|  Glenn Maxwell,18|  Sandeep Sharma,11
punjab-kings,2013,6,418|  David Miller,15|  Parvinder Awana,12
punjab-kings,2012,6,432|  Mandeep Singh,17|  Parvinder Awana,13
punjab-kings,2011,5,504|  Shaun Marsh,16|  Piyush Chawla,14
punjab-kings,2010,8,439|  Mahela Jayawardene,15|  Irfan Pathan,15
punjab-kings,2009,5,340|  Yuvraj Singh,17|  Irfan Pathan,16
punjab-kings,2008,3,616|  Shaun Marsh,19|  Shanthakumaran Sreesanth,17
rajasthan-royals,2024,3,573|  Riyan Parag,19|  Avesh Khan,1
rajasthan-royals,2023,5,625|  Yashasvi Jaiswal,21|  Yuzvendra Chahal,2
rajasthan-royals,2022,2,863|  Jos Buttler,27|  Yuzvendra Chahal,3
rajasthan-royals,2021,7,484|  Sanju Samson,15|  Chris Morris,4
rajasthan-royals,2020,8,375|  Sanju Samson,20|  Jofra Archer,5
rajasthan-royals,2019,7,393|  Ajinkya Rahane,20|  Shreyas Gopal,6
rajasthan-royals,2018,4,548|  Jos Buttler,15|  Jofra Archer,7
rajasthan-royals,2015,4,540|  Ajinkya Rahane,13|  Chris Morris,10
rajasthan-royals,2014,5,339|  Ajinkya Rahane,15|  Pravin Tambe,11
rajasthan-royals,2013,3,543|  Shane Watson,28|  James Faulkner,12
rajasthan-royals,2012,7,560|  Ajinkya Rahane,13|  Siddharth Trivedi,13
rajasthan-royals,2011,6,343|  Rahul Dravid,13|  Shane Warne,14
rajasthan-royals,2010,7,377|  Naman Ojha,11|  Siddharth Trivedi,15
rajasthan-royals,2009,6,295|  Ravindra Jadeja,16|  Munaf Patel,16
rajasthan-royals,2008,1,472|  Shane Watson,22|  Sohail Tanvir,17
sunrisers-hyderabad,2024,2,567|  Travis Head,19|  T Natarajan,1
sunrisers-hyderabad,2023,10,448|  Heinrich Klaasen,16|  Bhuvneshwar Kumar,2
sunrisers-hyderabad,2022,8,426|  Abhishek Sharma,22|  Umran Malik,3
sunrisers-hyderabad,2021,8,292|  Manish Pandey,18|  Rashid Khan,4
sunrisers-hyderabad,2020,3,548|  David Warner,20|  Rashid Khan,5
sunrisers-hyderabad,2019,4,692|  David Warner,19|  Khaleel Ahmed,6
sunrisers-hyderabad,2018,2,735|  Kane Williamson,21|  Siddarth Kaul,7
sunrisers-hyderabad,2017,4,641|  David Warner,26|  Bhuvneshwar Kumar,8
sunrisers-hyderabad,2016,1,848|  David Warner,23|  Bhuvneshwar Kumar,9
sunrisers-hyderabad,2015,6,562|  David Warner,18|  Bhuvneshwar Kumar,10
sunrisers-hyderabad,2014,6,528|  David Warner,20|  Bhuvneshwar Kumar,11
sunrisers-hyderabad,2013,4,311|  Shikhar Dhawan,21|  Amit Mishra,12
